"body","entityname","userid","createdAt"
"☕⛺🎄👍","Backyard Brew","108032751776815363988","2018-12-08 08:21:45.345+00"
"☕✅👩🧔","ADEN Beytepe","gQll82lAPnOnvLSMG3wLY5XgyYp1","2018-06-28 18:55:50.091+00"
"☕✨","Sightglass Coffee","105856798281199967470","2019-01-21 19:32:46.996+00"
"☕✨📖🖋️🏅","Caffè Nero","10215323205660534","2018-03-22 19:51:58.656+00"
"☕❄️🐶","Evoke Coffee Co","rsz45h7FGneakMuNMiLFRbf7Wkm1","2018-05-07 20:28:17.448+00"
"☕❄️👌🏼","Culture Espresso","105856798281199967470","2018-07-13 20:29:17.416+00"
"☕❄️💡🎶🎼","Kobrick Coffee Co.","105856798281199967470","2018-07-15 22:06:26.987+00"
"☕❄️💡🚲👨‍💻","Wright Bros. Brew and Brew","105856798281199967470","2018-07-22 19:02:34.264+00"
"☕❄️😋⭐","Bulldog News","rsz45h7FGneakMuNMiLFRbf7Wkm1","2018-05-04 00:20:32.107+00"
"☕❄️😠","Slate Coffee Roasters","rsz45h7FGneakMuNMiLFRbf7Wkm1","2018-05-02 03:33:00.629+00"
"☕❌😡","Einstein Brothers Bagels","10212886863311893","2018-03-10 19:24:42.514+00"
"☕❤️😍💼","Thomas M. Siebel Center for Computer Science","10102728676322882","2018-03-15 14:07:20.453+00"
"☕➕🍋😮","Houndstooth Coffee","105856798281199967470","2018-07-22 16:01:13.06+00"
"☕➕📶😌","Coffee Obsession","IVxTrnRwMxWyhshYhy7iKvbdYmm2","2018-08-27 19:11:19.132+00"
"☕➗👫😍","Cafe Venetia","106173579224565293482","2018-09-30 01:21:42.213+00"
"☕🇦🇹🏠😋","Julius Meinl","10210457306100125","2018-02-12 15:15:28.824+00"
"☕🇦🇺☺","Citizens of Chelsea","10155200088205955","2017-09-02 20:02:19.369+00"
"☕🇦🇺🥛👌👌","Saltwater Coffee","105856798281199967470","2018-07-18 17:22:14.526+00"
"☕🇨🇳🐔🥗🆗","Jane on Larkin","10155200088205955","2018-08-08 05:42:17.036+00"
"☕🇲🇽🐔🥗👍","Goddess and the Baker","10155200088205955","2019-01-27 19:11:37.73+00"
"☕🇺🇸👩‍💻🤝💪","Blue Bottle Coffee","10155200088205955","2018-06-30 22:43:08.075+00"
"☕🌇💡😍🆒","Hero Coffee Bar","1659104244102907","2018-03-27 15:39:29.048+00"
"☕🌎🦓🌴","Fairgrounds Coffee & Tea","1659104244102907","2018-03-28 02:41:23.432+00"
"☕🌙🆗","Le Grainne Cafe","10155200088205955","2018-05-29 01:56:03.713+00"
"☕🌤🛏","Latitude Apartments","100162404055730","2017-11-14 16:04:15.325+00"
"☕🌨️😄","Nirvana Coffee Co","10101857236440084","2018-01-04 14:58:12.411+00"
"☕🌰🥐😍🤤","Blue Bottle Coffee","10155200088205955","2018-07-15 14:42:14.672+00"
"☕🌸✈️🔥","Spitfire Coffee","105856798281199967470","2019-01-05 21:20:49.286+00"
"☕🌾🥛👍","Coffee Obsession","10155200088205955","2018-08-28 00:44:36.603+00"
"☕🌾🥛💆🏽‍♀️","Blue Bottle Coffee","10155200088205955","2018-08-19 16:49:44.983+00"
"☕🌾🥛😍","BrewLab Coffee","10155200088205955","2018-08-15 17:20:55.459+00"
"☕🌾🥛😍","BrewLab Coffee","10155200088205955","2018-08-30 18:02:04.012+00"
"☕🌿⚗️","Coffeelabs","105856798281199967470","2018-08-10 12:12:40.445+00"
"☕🌿🎒👩‍💻🎶","Forty Hands","1517874618267474","2018-04-11 04:04:09.178+00"
"☕🍀😋","Claddagh Coffee","1660353924016921","2018-03-22 21:00:22.11+00"
"☕🍊👍","Espresso Vivace","rsz45h7FGneakMuNMiLFRbf7Wkm1","2018-05-12 08:02:01.748+00"
"☕🍋😖","Jane on Larkin","106173579224565293482","2018-08-09 20:31:03.778+00"
"☕🍝👩‍💻","Coffeehouse By George","1726108570780522","2018-03-13 19:54:21.388+00"
"☕🍞💰👨‍👩‍👧‍👦","The Mill","10155963998008817","2018-11-17 22:24:00.109+00"
"☕🍩🍩🤗","Starbucks","878293195646842","2017-12-08 16:25:11.013+00"
"☕🍩👩‍💻💗","BrewLab Coffee","904147553087729","2018-03-17 20:44:12.585+00"
"☕🍩💨","Wild Iris Coffee House","10160009362260456","2018-04-21 16:43:16.58+00"
"☕🍩💻","Main Library","4fSiQkmyzzSrHMcu6b221awqU6j1","2018-10-09 15:52:48.237+00"
"☕🍩😎😍🥇","Sawada Coffee","878293195646842","2017-11-26 19:40:13.022+00"
"☕🍩😐👎","General Porpoise Doughnuts","1573926969369084","2018-06-06 23:25:32.729+00"
"☕🍩🤗⭐","General Porpoise Doughnuts","105856798281199967470","2018-07-25 17:52:59.452+00"
"☕🍪☀️🎧","Copper Moon Coffee","10214004701743493","2018-03-30 18:18:46.444+00"
"☕🍪☺","Stumptown Coffee Roasters","10155200088205955","2017-09-05 15:52:01.071+00"
"☕🍪⭐💵😇","Starbucks","1425689854196183","2017-11-14 00:55:47.77+00"
"☕🍪🎵📚🙂","Stumptown Coffee Roasters","115361705896308","2017-11-05 01:37:32.975+00"
"☕🍪🎵📚🙂","Stumptown Coffee Roasters","108032751776815363988","2017-11-05 01:37:32.975+00"
"☕🍪💗","커피스미스 가로수길점 Coffee Smith Garosugil","904147553087729","2018-05-12 10:25:16.356+00"
"☕🍪💻","Seattle Sunshine Coffee","rsz45h7FGneakMuNMiLFRbf7Wkm1","2018-05-10 04:05:53.954+00"
"☕🍪🙏","Starbucks","10211578427157813","2017-12-14 01:36:07.436+00"
"☕🍫❌🍯😣","La Colombe Coffee Roasters","115361705896308","2018-01-19 23:05:30.125+00"
"☕🍫❌🍯😣","La Colombe Coffee Roasters","108032751776815363988","2018-01-19 23:05:30.125+00"
"☕🍫🍰🤭","Patrice Pâtissier","106173579224565293482","2018-04-28 20:10:14.703+00"
"☕🍫👍","Walnut Street Tea Company","161575927917434","2017-11-29 20:17:40.518+00"
"☕🍫👨‍👩‍👧💬😌","Caffe Bene","1898612533778623","2018-12-12 07:14:35.185+00"
"☕🍫🦃👫❄️","Starbucks","108032751776815363988","2018-11-22 15:38:36.092+00"
"☕🍮👍","Pinecrest Bakery - Pinecrest","794492160751553","2017-09-01 04:08:55.84+00"
"☕🍯🍫🌶","Voyager Craft Coffee","1517874618267474","2018-05-12 22:35:01.528+00"
"☕🍰🗣💻📄","The Coffee Bean And Tea Leaf","285btfsFBDZtNXWsmfTEJQtnfF02","2018-05-13 10:11:39.147+00"
"☕🍳☺️","Pekara Bakery & Bistro","10155200088205955","2017-11-29 16:07:52.023+00"
"☕🍳🍟👍","Pearl Cafe","10103829476201045","2017-11-27 02:01:49.831+00"
"☕🍳👨‍👧😋","Malacca Toast","10207814784727552","2018-08-11 06:19:48.782+00"
"☕🍳🥞👌🌞","First Watch - Bridgeville","361816177630471","2018-03-13 14:20:33.373+00"
"☕🍵⚫🖤◾","Golda","sIqJK66gA3NEKykLrmjt9yJoMJw1","2018-05-10 01:07:33.885+00"
"☕🍵🔝‼️😍","Hammerhead Coffee","1660353924016921","2018-02-12 21:15:21.085+00"
"☕🍵🧐👩‍💻💻","Google San Francisco","liGWR60ckVOrlEEZa8RFRDfkfIk2","2018-06-18 18:02:08.053+00"
"☕🍶🍵","Philz Coffee","liGWR60ckVOrlEEZa8RFRDfkfIk2","2018-06-16 17:20:55.038+00"
"☕🍶🥐🙂💯","Thomas M. Siebel Center for Computer Science","10215323205660534","2018-09-24 16:02:48.874+00"
"☕🍸🇹🇷🎦🆒","Orson's Belly","1659104244102907","2018-08-11 22:21:17.667+00"
"☕🍻💡❤️❤️","Ipsento 606","878293195646842","2018-06-05 00:48:48.952+00"
"☕🎄⭐💵🐚","Starbucks","10212886863311893","2017-11-08 21:25:50.316+00"
"☕🎄🎄","Starbucks","878293195646842","2017-11-21 04:47:57.774+00"
"☕🎉👨‍💻","Thomas M. Siebel Center for Computer Science","105856798281199967470","2018-04-30 21:29:14.397+00"
"☕🎒➡️🚗","Peet's Coffee","105856798281199967470","2018-08-29 02:17:04.488+00"
"☕🎧👨‍💻🔜🛏","Latitude Apartments","1361942793868970","2017-09-01 07:39:35.942+00"
"☕🎩👍🤤","Hammerhead Coffee","115361705896308","2017-10-28 05:50:25.812+00"
"☕🎩👍🤤","Hammerhead Coffee","108032751776815363988","2017-10-28 05:50:25.812+00"
"☕🎶🍦👍","Big Basin Cafe","1990197424568096","2018-03-20 22:47:42.343+00"
"☕🎸🎤😮👏","Red Rock Coffee","105856798281199967470","2018-09-18 05:43:29.608+00"
"☕🎾🍴❤😋","Greek Padel Academy Alimos","10211437303582304","2017-09-02 05:41:19.252+00"
"☕🏅✨","Intelligentsia Coffee Millennium Park Coffeebar","10212886863311893","2018-02-18 17:37:45.886+00"
"☕🏰🐴","The Wall Coffee And Design House","105856798281199967470","2018-05-23 14:05:28.132+00"
"☕🐑🐑🐑🤔","Kaffe 1668","108032751776815363988","2018-04-09 13:45:08.991+00"
"☕🐔🥪⚡👍","Einstein Brothers Bagels","10155200088205955","2018-12-07 21:21:45.171+00"
"☕👀🔜🍑🥐","Intelligentsia Coffee Venice Coffeebar","106173579224565293482","2018-08-01 16:55:01.705+00"
"☕👃👌👅🤨","Caffe Ladro","106173579224565293482","2018-11-29 21:04:26.064+00"
"☕👌","Walnut Street Tea Company","10208469801822893","2017-11-29 21:07:28.364+00"
"☕👌🇮🇹😇🌇","Vittoria","QGQ5pcCQVyM1a4b6kedH0yPKj7L2","2018-07-17 14:32:14.334+00"
"☕👌🌅","H3","10212886863311893","2017-11-22 07:03:28.969+00"
"☕👍","Cafe Solstice","rsz45h7FGneakMuNMiLFRbf7Wkm1","2018-05-08 07:40:40.042+00"
"☕👍","Rebel Coffee","10155200088205955","2018-02-24 18:01:40.486+00"
"☕👍⬇👴🛤","Underline Coffee","10155200088205955","2017-11-17 22:06:40.747+00"
"☕👍🍫🍰👎","Einstein unter den Linden","Ybwj1wTN0rVKBHTbr4YbiK0JMyc2","2018-10-14 19:10:53.226+00"
"☕👍🍵😎","Bicerin Espresso Bar","0HqYkVD6BCOAI5e3sIeCaSvqFOz1","2019-02-13 22:23:00.848+00"
"☕👍😀","Massilia","oFF4ICVgaIPLwhLwLtV9xa0NDye2","2018-11-25 19:14:15.412+00"
"☕👍😀🥐","goodboybob coffee","oFF4ICVgaIPLwhLwLtV9xa0NDye2","2018-04-25 05:27:49.692+00"
"☕👍🚫🔌😐","Blue Bottle Coffee","10155200088205955","2018-08-06 23:24:34.947+00"
"☕👍🥐😀","Bru Coffeebar","oFF4ICVgaIPLwhLwLtV9xa0NDye2","2018-05-10 00:27:52.082+00"
"☕👍🥧🆗👨‍👩‍👧","Four & Twenty Blackbirds","10155200088205955","2018-07-13 17:24:14.763+00"
"☕👟😋","Deadstock Coffee","1573926969369084","2018-07-29 18:25:47.3+00"
"☕👟🥇🥈🥉","Deadstock Coffee","105856798281199967470","2018-07-29 18:19:08.7+00"
"☕👨‍👩‍👧‍👦👨‍👩‍👦‍👦👨‍👩‍👧‍👧📣","Birch Coffee","115361705896308","2017-11-30 19:13:04.321+00"
"☕👨‍👩‍👧‍👦👨‍👩‍👦‍👦👨‍👩‍👧‍👧📣","Birch Coffee","108032751776815363988","2017-11-30 19:13:04.321+00"
"☕👨‍💻☺","Latitude Apartments","100162404055730","2017-11-07 04:34:28.452+00"
"☕👨‍💻🍞🆗","Coffee Café Roasters","108032751776815363988","2018-05-20 17:20:45.655+00"
"☕👨‍💻👨‍🔬👨‍🏫🧙‍♂️","Human-Computer Interaction Institute","imKur6dQMxYb8x5zU0gyJcoLIkw1","2018-12-11 01:16:45.216+00"
"☕👨‍💻👩‍💻👨‍💻👩‍💻","Bean & Bean Coffee","105856798281199967470","2018-07-12 14:58:26.065+00"
"☕👨‍💻🔃😬","BrewLab Coffee","10212886863311893","2018-02-16 23:20:42.136+00"
"☕👩‍💻","Thomas M. Siebel Center for Computer Science","904147553087729","2018-09-10 18:36:23.275+00"
"☕👩‍💻👍💼","Workshop Cafe FiDi","1659104244102907","2018-08-11 02:02:31.848+00"
"☕👩🏽‍💻🤝👍","Red Rock Coffee","10155200088205955","2018-12-14 18:58:25.624+00"
"☕👩👩👦🤳","Bewley's Grafton Street","105856798281199967470","2018-06-01 10:47:18.659+00"
"☕👫🌤️😎☺️","Stumptown Coffee Roasters","10155200088205955","2018-10-01 15:31:10.977+00"
"☕👬👩🏻💬","Blue Bottle Coffee","10155963998008817","2018-11-18 21:59:13.374+00"
"☕👭🤗","Perkins Restaurant & Bakery","104870693549382697033","2018-03-09 15:36:20.946+00"
"☕👾🌥","Espresso Royale","10155963998008817","2018-03-23 19:42:41.316+00"
"☕💕🥞","Cafe 13","110090767296080837527","2018-03-24 06:16:58.711+00"
"☕💜🥐👦👦","Bibble & Sip","105856798281199967470","2018-07-13 16:06:38.653+00"
"☕💡😍👩‍💻","Sawada Coffee","1748667878486854","2018-03-15 19:01:53.56+00"
"☕💤🔥","Ipsento 606","10160009362260456","2018-03-27 13:19:45.484+00"
"☕💬🗨️😊","Milstead & Co.","10155200088205955","2018-11-27 22:49:28.238+00"
"☕💻☕💻","Thomas M. Siebel Center for Computer Science","10108905739483500","2018-03-09 22:00:10.77+00"
"☕💻📖💕","Anchorhead Coffee","rsz45h7FGneakMuNMiLFRbf7Wkm1","2018-04-29 21:04:01.286+00"
"☕💻📚🤨","Starbucks","4fSiQkmyzzSrHMcu6b221awqU6j1","2018-10-26 14:04:24.034+00"
"☕📓🖋","Lunch Box","10154555554787465","2018-03-23 10:06:59.491+00"
"☕📖🎼😍🤓","Booktalks","10211437303582304","2017-11-23 12:29:40.892+00"
"☕📖📓💻👍","Espresso Royale","161575927917434","2017-11-27 14:22:06.599+00"
"☕📖📚👨‍🏫👨‍💻","Flying Machine Avionics","1995199637172039","2017-12-14 00:21:27.446+00"
"☕📚🤷‍♀️🤔","Bean Scene Cafe","10210528750468531","2017-11-26 03:51:34.139+00"
"☕🔥👃💆","Columbia Street Roastery","10155200088205955","2018-02-07 18:32:50.141+00"
"☕🖤😎🎩","Intelligentsia Coffee - Highline Hotel","10155200088205955","2018-05-23 20:26:12.022+00"
"☕🗣️🍳😍","Pekara Bakery & Bistro","10212886863311893","2018-01-28 19:07:04.577+00"
"☕🗣😀🌈","Thomas M. Siebel Center for Computer Science","105856798281199967470","2018-03-09 19:15:45.568+00"
"☕😁🧣🌞🌧","Philz Coffee","10155351902975735","2018-03-25 01:08:13.902+00"
"☕😄😻💕❤️","Starbucks","849156475252964","2018-05-16 01:56:44.764+00"
"☕😊","Hammerhead Coffee","10154949048230834","2018-03-18 22:57:27.197+00"
"☕😋👍🤑","Vintage Grocers","108032751776815363988","2018-04-28 20:25:41.791+00"
"☕😌","Espresso Royale","1592085597479495","2017-11-16 13:01:42.785+00"
"☕😍","Firecakes Donuts","10212886863311893","2017-12-03 04:18:19.304+00"
"☕😍","Blue Bottle Coffee","EqqFCv1Cd8h9lvYOkARhuZVm8zw1","2018-09-01 19:41:11.3+00"
"☕😍🏃‍♂️🚅😅","Blue Bottle Coffee","108032751776815363988","2018-11-26 14:35:55.143+00"
"☕😍👨‍💻","Intelligentsia Coffee Millennium Park Coffeebar","10203191900074104","2017-09-02 22:37:12.562+00"
"☕😍💲‼️🙃","Starbucks","1787374657962185","2018-01-31 04:58:51.558+00"
"☕😐","Chilmark General Store","10155200088205955","2018-08-26 04:54:23.75+00"
"☕😘","Storyville Coffee Pike Place","rsz45h7FGneakMuNMiLFRbf7Wkm1","2018-05-12 08:03:17.884+00"
"☕😲😐😪","Samsara","105856798281199967470","2018-11-28 17:10:35.259+00"
"☕😴➡️🤓💻","Einstein Brothers Bagels","10155200088205955","2017-12-04 18:56:55.584+00"
"☕😴➡️🦄🌈","Einstein Brothers Bagels","10155200088205955","2018-03-09 18:08:18.466+00"
"☕🙂","Starbucks","rsz45h7FGneakMuNMiLFRbf7Wkm1","2018-04-30 01:37:41.083+00"
"☕🙇👨‍💻🤧⏰","Einstein Brothers Bagels","10212886863311893","2018-03-02 19:42:37.691+00"
"☕🙌🎓🎒🥐","Waddick's","361816177630471","2018-03-09 17:37:21.394+00"
"☕🚫♨️😣","Flying Machine Avionics","106173579224565293482","2018-07-21 22:36:56.671+00"
"☕🚮👎","Dunkin' Donuts","878293195646842","2017-09-01 04:33:45.41+00"
"☕🚽😍","Wawa","10156045110167189","2017-11-12 18:12:22.648+00"
"☕🛎️💡","Intelligentsia Coffee - Highline Hotel","105856798281199967470","2018-07-12 22:05:38.369+00"
"☕🛫","Delta Sky Club","imKur6dQMxYb8x5zU0gyJcoLIkw1","2018-12-15 13:30:22.759+00"
"☕🛫","Delta Sky Club","imKur6dQMxYb8x5zU0gyJcoLIkw1","2019-01-05 19:19:13.607+00"
"☕🛫","Seattle-Tacoma International Airport","imKur6dQMxYb8x5zU0gyJcoLIkw1","2019-01-11 14:20:15.131+00"
"☕🤓📚","Big Mug Coffee Roaster","10210528750468531","2017-11-11 22:22:50.836+00"
"☕🤝💬🗨️","Philz Coffee","105856798281199967470","2019-01-11 18:42:03.613+00"
"☕🤝🗣🗣","Starbucks","105856798281199967470","2018-06-30 23:22:40.92+00"
"☕🤝🗨️💬🤩","Anchorhead Coffee","10155200088205955","2018-11-29 21:24:00.744+00"
"☕🤟","Cafe Solstice","rsz45h7FGneakMuNMiLFRbf7Wkm1","2018-05-04 20:14:03.48+00"
