"body","entityname","userid","createdAt"
"🎭🎬🎥🎼❤️","Ανωτέρα Δραματική Σχολή ""Ίασμος""","10156858265378761","2017-11-26 03:46:51.249+00"
"🎭🐦🔫😭👏","Shubert Theatre","10155200088205955","2019-01-04 15:48:41.482+00"
"🎭🥧👨‍⚕️🤰💕","Brooks Atkinson Theatre","10156074801518874","2018-09-27 04:38:40.314+00"
"🎭🧚‍♀️✨☠️🐊","Old Stone House & Washington Park","106173579224565293482","2018-07-14 01:00:40.066+00"
"🎮☕💻📝📝","Caffe Bene","o0Pwg75Vq7T9RWU6x8unTstJ6Dg2","2018-11-09 21:45:40.344+00"
"🎮🍺🥂🍷🥃","Emporium SF - Arcade Bar Venue","105856798281199967470","2018-06-16 06:44:12.884+00"
"🎮📺📽️🍺🏓","Folsom Street Foundry","105856798281199967470","2018-09-22 06:54:48.142+00"
"🎮🕹️☕🥛💾","The Wormhole Coffee","10212886863311893","2018-02-18 19:04:09.583+00"
"🎮🕹️🎲🃏","Rincon Center","105856798281199967470","2019-01-30 05:57:26.72+00"
"🎯🍺😅🍻","Brothers Bar & Grill","1864493876898160","2017-11-14 00:05:40.788+00"
"🎯🛒💡🏡😊","Target","10155963998008817","2018-03-18 19:50:06.786+00"
"🎰♠️♥️♦️♣️","The Mirage","105856798281199967470","2019-02-09 09:56:35.685+00"
"🎰🎲💸🕺🆒","MGM Grand","1671649076180873","2018-04-09 06:40:41.795+00"
"🎱","Illini Union","10212886863311893","2017-10-20 22:43:14.833+00"
"🎱🍺🎼😏🤗","G-Cue Billiards","10155787721844909","2017-11-12 06:17:19.749+00"
"🎱🍻🙃","G-Cue Billiards","878293195646842","2017-11-12 08:20:49.989+00"
"🎲⛓️🐉","Gamescape","10155963998008817","2018-11-17 21:52:37.428+00"
"🎲🌍🍻💡😍","Guthrie's Tavern","1659104244102907","2018-06-27 20:58:10.041+00"
"🎳☠👎❌🚫","Strikers Family Sportscenter","878293195646842","2017-11-22 03:03:06.754+00"
"🎳🎮🎱🤩🍹","Punch Bowl Social Chicago","1659104244102907","2018-05-09 03:44:03.095+00"
"🎵🎓🔵🔶","Foellinger Auditorium","G69rqfvVeWQMi3ICE50HKZQRePr1","2019-02-11 05:34:43.817+00"
"🎵🎶🎹💻😍","Urbana","904147553087729","2018-02-16 02:42:53.853+00"
"🎵👑🤑🎩📚","Oscar Wilde","1517874618267474","2018-07-28 20:21:31.898+00"
"🎵🙉🍜","Signature Grill","1952478298114591","2018-03-26 00:42:22.227+00"
"🎶2️⃣🎻💓😭","The Chicago Theatre","1864493876898160","2018-01-29 03:39:53.495+00"
"🎶☕🛋️🤓👨‍💻","Booktalks","1361942793868970","2017-12-27 14:37:00.595+00"
"🎶🌮🌯😌","The Made Fest","10155200088205955","2017-09-24 01:23:51.689+00"
"🎶🍾🤳🔥💣","Club Soap Seoul","904147553087729","2018-08-11 11:40:57.865+00"
"🎶🎤🎄🎅","Pittsburgh Symphony Orchestra","imKur6dQMxYb8x5zU0gyJcoLIkw1","2018-12-16 20:49:18.022+00"
"🎶🎵🗣🎤","C'est Si Bon","AIkwmbmie4VhCquS1ciSGq6g9u53","2018-04-27 06:25:22.663+00"
"🎶🎷🎸🎺🎻","Bamboula's","105856798281199967470","2019-01-08 04:08:26.127+00"
"🎶🔊🍻🥃🤢","The Red Lion","100162404055730","2017-10-23 20:12:44.023+00"
"🎶🔘🔘🤳🥂","Arena Ktown","904147553087729","2018-11-19 04:03:22.304+00"
"🎷🎺🎵🍺","Fritzel's European Jazz Pub","1217237868409350","2018-07-02 03:25:54.19+00"
"🎸🎸🏆🏋🍺","Hollywood Casino Amphitheatre","1958216867729438","2018-05-09 17:06:47.046+00"
"🎹🍸🎵🎸😎","Iridium","115361705896308","2017-11-14 16:55:18.349+00"
"🎹🍸🎵🎸😎","Iridium","108032751776815363988","2017-11-14 16:55:18.349+00"
"🎹🎤🗣️📑","Don't Tell Mama","10156074801518874","2018-09-27 05:33:31.154+00"
"🎹😋🚽☁️🎶","Illini Union","10215323205660534","2018-02-01 19:24:09.427+00"
"🎻🎺🎶👂😮","Flint Center for the Performing Arts","2041070856167987","2018-03-12 23:09:48.992+00"
"🎻🕯🥃🙌","Polite Society Restaurant and Bar","10210457306100125","2018-04-25 22:49:08.294+00"
"🎼🎧💃🕺","Krannert Center for the Performing Arts","10156087054263545","2018-02-07 21:55:50.106+00"
"🎽🏆👩","Hotel New Otani Osaka","imKur6dQMxYb8x5zU0gyJcoLIkw1","2019-01-26 07:31:47.505+00"
"🎽👟💦","University of Washington Intramural Activities (IMA) Building","rsz45h7FGneakMuNMiLFRbf7Wkm1","2018-05-02 00:21:58.358+00"
"🎾🌵🌞👙😍","Troon Country Club","10210457306100125","2018-05-31 12:47:28.29+00"
"🎾🏆🏟😍🇺🇸","Flushing Meadows Corona Park","10155200088205955","2017-09-05 00:38:27.681+00"
"🎾🏟️🌦️🇺🇸👐","Arthur Ashe Stadium","108032751776815363988","2018-02-20 04:57:27.344+00"
"🎿","Crystal Mountain","gYyCUOP4qLPYXKRXE49rQdSFN9o2","2018-12-21 04:04:22.415+00"
"🎿⛷️🚠","Heavenly Mountain Resort","688430868030100","2018-02-17 16:19:56.262+00"
"🏀🎧👟🛀","University of Illinois Campus Recreation","1568817893208858","2017-12-01 01:12:46.857+00"
"🏀🎽👟⛹️‍♂️🚴‍♂️","Basketball Court","MMbM4HMgQRdbhu8AHkg7R8GpXcJ2","2018-12-24 12:34:57.99+00"
"🏀📺🙌➡️😠","Samsara","105856798281199967470","2018-11-14 04:04:46.619+00"
"🏀😌📞📅❌","University of Illinois Campus Recreation","10215323205660534","2018-09-01 18:57:07.26+00"
"🏂🏔🌞❤️💯","Park City","878293195646842","2018-03-10 23:38:03.309+00"
"🏂👖😀👍","Scandinavian Ski Shop","878293195646842","2018-02-16 03:46:35.078+00"
"🏃‍♀️➡️🏪💊🤒","County Market","1270106893044550","2017-12-13 22:39:45.245+00"
"🏃‍♀️🏃‍♀️🍑","Campus Recreation Center East","1585186008195683","2018-03-03 17:36:30.487+00"
"🏃‍♀️🏃‍♀️💦🍖🥙","Campus Recreation Center East","904147553087729","2018-03-03 17:35:06.699+00"
"🏃‍♀️🏋️‍♀️💪😅","Charter Fitness of Urbana","10155200088205955","2017-09-22 01:35:34.941+00"
"🏃‍♀️🏋️‍♀️💪😅","Charter Fitness of Urbana","10155200088205955","2018-04-19 01:58:01.155+00"
"🏃‍♀️🏫❌👨‍🏫🤷‍♀️","University of Illinois: Armory","904147553087729","2018-02-14 16:51:34.417+00"
"🏃‍♀️👣⛰🍦🌳","Fløyen","1726108570780522","2018-05-25 11:33:57.519+00"
"🏃‍♀️😀","University of Illinois: Armory","395494837568437","2018-02-19 00:52:10.558+00"
"🏃‍♀️😰🍲😌","Woori Jib","10207814784727552","2018-02-08 02:43:56.756+00"
"🏃‍♀️🚌✈️😴🌉","O'Hare International Airport","106173579224565293482","2018-05-13 01:24:23.778+00"
"🏃‍♂️","Yanmar Stadium Nagai","imKur6dQMxYb8x5zU0gyJcoLIkw1","2019-01-27 02:58:55.423+00"
"🏃‍♂️","Amanda-Clearcreek Local School District","imKur6dQMxYb8x5zU0gyJcoLIkw1","2018-12-26 17:45:32.953+00"
"🏃‍♂️☕☕","See See Motor Coffee Co","imKur6dQMxYb8x5zU0gyJcoLIkw1","2018-12-07 19:36:39.876+00"
"🏃‍♂️☕🥐🥖","Five Points Artisan Bakeshop","imKur6dQMxYb8x5zU0gyJcoLIkw1","2018-12-02 14:39:42.176+00"
"🏃‍♂️☕🥪🚘","Starbucks","imKur6dQMxYb8x5zU0gyJcoLIkw1","2018-12-02 16:48:37.271+00"
"🏃‍♂️🌯🛫","Pittsburgh International Airport","imKur6dQMxYb8x5zU0gyJcoLIkw1","2018-12-12 20:41:33.074+00"
"🏃‍♂️🍔🍺👨‍👨‍👧‍👦","Social","imKur6dQMxYb8x5zU0gyJcoLIkw1","2018-12-19 00:49:29.974+00"
"🏃‍♂️🍱🍚🍛👌","Panda Express","10212391291791338","2018-02-05 22:14:28.461+00"
"🏃‍♂️🏃‍♀️🏃‍♂️🏃‍♀️🚶‍♀️","Golden Gate National Recreation Area","10212391291791338","2018-07-29 18:17:36.313+00"
"🏃‍♂️🏃‍♀️🏃‍♂️🏃‍♀️🚶‍♀️","San Francisco","10212391291791338","2018-07-29 22:31:24.19+00"
"🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️","University of Illinois Campus Recreation","10212391291791338","2018-10-17 04:11:13.31+00"
"🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️","University of Illinois Campus Recreation","10212391291791338","2018-10-26 04:48:12.07+00"
"🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️","University of Illinois Campus Recreation","10212391291791338","2019-02-10 02:42:31.359+00"
"🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏋️‍♂️","University of Illinois Campus Recreation","10212391291791338","2018-10-21 00:54:34.458+00"
"🏃‍♂️🏋️‍♂️🚵‍♂️🤺🧗‍♂️","University of Illinois Campus Recreation","10212391291791338","2018-10-19 04:54:18.744+00"
"🏃‍♂️🏋️🧖‍♂️🛌😇","ARC (North Side)","100162404055730","2017-12-07 23:00:20.937+00"
"🏃‍♂️👨‍🏫🙌🍺","Hotel Indigo Pittsburgh East Liberty","imKur6dQMxYb8x5zU0gyJcoLIkw1","2018-12-11 20:47:57.686+00"
"🏃‍♂️👨‍👩‍👧‍👧","Meridian Playground","imKur6dQMxYb8x5zU0gyJcoLIkw1","2019-01-05 01:05:06.449+00"
"🏃‍♂️📺🧟‍♂️🧟‍♀️🏇","Activities and Recreation Center","10212391291791338","2018-10-29 04:49:12.923+00"
"🏃‍♂️🗣️⛈️🏃‍♂️🏠","Thomas M. Siebel Center for Computer Science","10212391291791338","2018-10-10 20:44:48.191+00"
"🏃‍♂️🚶‍♂️🏃‍♂️🚶‍♂️🏃‍♂️","University of Illinois Campus Recreation","10212391291791338","2019-01-08 03:00:05.011+00"
"🏃‍♂️🚶‍♂️🏃‍♂️🚶‍♂️🏃‍♂️","Activities and Recreation Center","10212391291791338","2018-09-05 05:36:07.134+00"
"🏃🌉➡️🌊","San Francisco – Oakland Bay Bridge","a75GkecYjZPfhwj4LIkpJPvvRXL2","2018-05-20 14:11:29.461+00"
"🏃🏃‍♀️✌️🏅","University of Illinois: Armory","2098697743676870","2018-01-22 03:58:39.436+00"
"🏃🏃‍♀️🌉👔👥","Menlo Park","10155351902975735","2018-07-03 17:55:29.323+00"
"🏃🏃‍♀️🚆🌉🙌","Mountain View Station","105856798281199967470","2018-07-03 17:43:19.52+00"
"🏃🏃🍺🕛😁","Marathon Gas","10155721344156285","2017-12-08 06:15:45.704+00"
"🏃🏃💨🍮🍛","Stevens Creek Fitness Center","10212391291791338","2018-07-11 04:48:52.971+00"
"🏃🏋️💪😴🛏️","The Tate Luxury Apartments","108032751776815363988","2018-02-20 02:44:42.702+00"
"🏃🏖🏊💑👍","Grand Anse Beach","108032751776815363988","2018-03-25 16:32:02.429+00"
"🏃🏽‍♀️🏋🏽‍♀️➡️🇫🇷🥐","Charter Fitness of Urbana","10155200088205955","2018-10-07 21:06:01.224+00"
"🏃🏽‍♀️🏋🏽‍♀️💪😅","Charter Fitness of Urbana","10155200088205955","2018-09-02 16:07:04.183+00"
"🏃😤👜💼✈","O'Hare International Airport","10212886863311893","2017-11-10 02:17:30.548+00"
"🏃😪🛫👨‍💻🏆","O'Hare International Airport","105856798281199967470","2018-02-26 00:21:17.818+00"
"🏃🚶💪🕺🧘‍♂️","Stevens Creek Fitness Center","10212391291791338","2018-06-19 07:22:52.633+00"
"🏃🧘‍♀️","University of Illinois Campus Recreation","395494837568437","2018-03-05 23:55:05.954+00"
"🏄‍♀️⛵🌅🆒😌","Balboa Peninsula","10155351902975735","2018-06-03 22:27:17.69+00"
"🏄‍♀️🦆🎂🌞","Venice","10155351902975735","2018-04-14 03:31:43.305+00"
"🏄‍♂️🏄‍♀️🌫️🏖️👙","Capitola Beach","10212391291791338","2018-08-11 23:55:31.048+00"
"🏄🏄‍♀️","Venice Mtl","oFF4ICVgaIPLwhLwLtV9xa0NDye2","2018-04-24 16:38:03.108+00"
"🏅🍕🏘💯♥","Pizzeria Antica","1361942793868970","2017-08-31 17:04:26.779+00"
"🏅🏅🏅","Grainger Engineering Library Information Center","392930684494545","2018-01-18 23:48:46.882+00"
"🏆","Palais des Congrès in Montreal","rf82wxazUSbvSTzZRlWJ3QWuvl33","2018-04-24 01:31:12.483+00"
"🏆🍽🥃🌃💃","Chicago Athletic Association","1660353924016921","2018-05-15 17:40:12.175+00"
"🏈📄➕🐑🍔","Andiamo","105856798281199967470","2018-04-27 00:46:25.274+00"
"🏈📺⭐🐻⚜️","Saratoga","105856798281199967470","2018-11-23 05:02:11.34+00"
"🏊‍♀️🏊‍♀️🏊‍♀️🌆🌇","Insignia By Bosa","IVxTrnRwMxWyhshYhy7iKvbdYmm2","2018-09-17 00:36:42.502+00"
"🏊‍♀️🏊🎾","Brookside Club of Saratoga","105856798281199967470","2018-05-16 19:49:48.287+00"
"🏊‍♀️🏋️‍♀️🚴‍♂️💪","ClubSport San Jose Health and Fitness Gym","XXnUVF4DL9ckCjh3acLaUOG33hH2","2018-08-03 02:40:30.012+00"
"🏊‍♀️🏝️🌅💵🏄‍♀️","Pullman Phuket Arcadia Naithon Beach","1369049109859054","2018-02-11 17:30:04.633+00"
"🏊‍♀️💦❄️","Urbana Indoor Aquatic Center","110478412661569610356","2018-03-24 22:48:28.873+00"
"🏊‍♂️🏊‍♀️🏊‍♂️🏊‍♀️🏃‍♂️","ARC Pool","10212391291791338","2018-11-12 04:26:40.858+00"
"🏊‍♂️😎🏖️☀️","Honolulu","2053211201557946","2018-12-30 23:52:15.639+00"
"🏋️‍♀️🏃‍♀️","Campus Recreation Center East","105492056756174972786","2018-02-01 23:50:55.58+00"
"🏋️‍♀️💪🕘😴","HERE.","10207814784727552","2018-01-31 16:30:23.142+00"
"🏋️‍♀️😪😴➡️🍗","Buffalo Wild Wings","10207814784727552","2018-02-14 03:26:44.921+00"
"🏋️😥💪🍩🙅‍♂️","University Ave CrossFit","10212886863311893","2018-02-15 22:29:39.656+00"
"🏋️😩","CrossFit Mobilus","117477390863216814562","2018-02-07 12:59:16.33+00"
"🏋🏃🎧🍌🐔","University of Illinois Campus Recreation","2053211201557946","2018-03-20 23:11:02.861+00"
"🏍🍺🍻🤘","Twisted Spoke","878293195646842","2017-11-02 04:10:58.806+00"
"🏍🏍⚡🌳☀️","Road America","878293195646842","2018-06-04 02:02:13.826+00"
"🏍🏍💯🌳🌳","Blackhawk Farms Raceway","878293195646842","2018-06-24 20:12:34.865+00"
"🏍💨⚡🤯🤪","Mazda Raceway Laguna Seca","878293195646842","2018-04-05 00:29:19.959+00"
"🏍💨🌧😬🤪","Autobahn Country Club","878293195646842","2018-06-11 23:45:21.866+00"
"🏎️🏁💼💨⚡","K1 Speed","105856798281199967470","2018-09-20 00:13:18.151+00"
"🏒💸🌭🐅🐁","BB&T Center","108473739188452905120","2018-02-23 00:25:48.941+00"
"🏓🍺🎂","Barebottle Brewing Company","105856798281199967470","2018-12-01 21:19:06.86+00"
"🏓😍🍻🤑🍀","AceBounce Ping Pong Bar & Restaurant Chicago","1659104244102907","2018-03-19 12:12:41.455+00"
"🏔👀😮🌆","Mt Washington","1111655028939865","2018-05-19 23:39:04.17+00"
"🏔🚠📸😍👫","Ticket office -Aiguille du midi","108032751776815363988","2018-06-07 13:11:00.296+00"
"🏕️🔦⛰️🏜️😍","Watchman Campground","878293195646842","2018-02-19 07:10:25.046+00"
"🏕️🔦🃏👬👫","Ventana Campground","105856798281199967470","2018-09-17 00:41:27.423+00"
"🏖️☀️👙🍹🏢","Mondrian South Beach Hotel","10212391291791338","2018-12-24 19:45:40.167+00"
"🏖️🆗","Darkwood Beach","10155200088205955","2019-01-14 17:04:22.104+00"
"🏖️🇬🇧🍵🥪😍","Carlisle Bay Antigua","10155200088205955","2019-01-12 20:03:36.88+00"
"🏖️🏠🌊🏊‍♀️😎","Chilmark","106173579224565293482","2018-08-27 15:25:54.664+00"
"🏖️🏠🎶👭❤️","The Chicago Theatre","1726108570780522","2018-08-19 01:36:04.09+00"
"🏖️🏡🌊😍🤩","Martha's Vineyard","106173579224565293482","2018-08-27 15:19:33.236+00"
"🏖️👍👃🤔","Ffryes Beach","10155200088205955","2019-01-16 00:06:30.831+00"
"🏖️💖⛱️","Sugar Beach","1659104244102907","2018-07-31 17:19:25.693+00"
"🏖️😍🌴🏴‍☠️⛵","Carlisle Bay Antigua","108032751776815363988","2019-01-11 21:13:39.679+00"
"🏖🌅🍷🦀😁","Old Fisherman's Wharf","rJFuidCPCiZuGeskRtz01ypOYBD2","2018-06-27 05:07:48.439+00"
"🏖🌊💨😎","Zuma Beach","108032751776815363988","2018-04-28 20:24:46.417+00"
"🏖🌴👙👣😁","Grand Anse Beach","10155200088205955","2018-03-23 17:57:39.444+00"
"🏖🍹🍗🥗😎","Umbrella's Beach Bar","108032751776815363988","2018-03-23 19:25:25.65+00"
"🏗️🔨👨‍💻👩‍💻📏","Autodesk Technology Centre Toronto","0HqYkVD6BCOAI5e3sIeCaSvqFOz1","2019-02-13 22:04:26.03+00"
"🏘⛪🎨🚶‍♀️🤩","Montmartre","1660353924016921","2018-03-01 19:42:16.309+00"
"🏙☕😎👠","Condé Nast","10155200088205955","2017-11-16 16:37:39.158+00"
"🏙🌳🍃🌬☁️","Millennium Park","1748667878486854","2018-03-16 00:01:45.181+00"
"🏙🛫😴🛬🌽","Boston Logan International Airport","1970440316501428","2018-03-25 08:34:20.004+00"
"🏚🕛🏇🔔😎","The Paul Revere House","10155200088205955","2018-06-22 03:58:08.756+00"
"🏛️⛲🖼️🗿😅","Louvre Museum","106173579224565293482","2018-10-21 16:28:32.903+00"
"🏛️🇪🇬⚰️👸👍","Neues Museum","Ybwj1wTN0rVKBHTbr4YbiK0JMyc2","2018-10-18 03:25:13.987+00"
"🏛️🎨👟📽️🖼️","The Art Institute of Chicago","XXnUVF4DL9ckCjh3acLaUOG33hH2","2018-09-03 19:14:18.659+00"
"🏛️🎭📝💯👍","Ravindra Kala Kshethra","105541935333594264230","2018-12-02 19:07:26.233+00"
"🏛️🏗️🤴👸👍","Altes Museum","Ybwj1wTN0rVKBHTbr4YbiK0JMyc2","2018-10-18 03:30:42.166+00"
"🏛️🏰👍","Pergamonmuseum","106173579224565293482","2018-10-17 10:43:16.372+00"
"🏛️👨‍🎓👩‍🎓😍","Humboldt University of Berlin","106173579224565293482","2018-10-14 19:45:05.462+00"
"🏛️💎💍⚜️😐","Old and New Green Vault","106173579224565293482","2018-10-15 14:07:47.823+00"
"🏛️🤦🏽‍♀️☀️🌡️😑","Plymouth Rock","10155200088205955","2018-08-27 21:55:49.069+00"
"🏛🎨😮🤹‍♂️❣","San Francisco Museum of Modern Art","1650275194993086","2018-03-01 06:02:02.479+00"
"🏛🏛☕😲","Crew Collective & Cafe","878293195646842","2018-04-22 18:39:31.359+00"
"🏛🗡🔬🏺🗺","The British Museum","105856798281199967470","2018-05-29 15:41:46.842+00"
"🏛😍🤫☕","Bow Truss Coffee Roasters","1659104244102907","2018-05-09 01:42:46.195+00"
"🏜️↘️↗️✅😅","Grand Canyon National Park","878293195646842","2018-02-19 07:20:55.533+00"
"🏜️🌵🌩️⚡😲","Scottsdale","10155200088205955","2018-08-11 05:00:41.825+00"
"🏜️🚿💲⏲️💁‍♂️","Mather Campground Showers","878293195646842","2018-02-19 07:14:59.495+00"
"🏝️☀️🇮🇩🛥️🕌","Batam","1517874618267474","2018-02-11 16:39:25.236+00"
"🏝️🌇🛳️🦈🌊","Wisteria Island","10212391291791338","2018-12-27 22:27:13.432+00"
"🏝️🏖️🌊🌅😍","Chilmark","IVxTrnRwMxWyhshYhy7iKvbdYmm2","2018-08-27 19:08:45.158+00"
"🏝️🏙️🆒⚡🛫","Billy Bishop Toronto City Airport","1659104244102907","2018-07-31 17:16:29.708+00"
"🏞⛰🌉","Carrick-a-Rede Rope Bridge","105856798281199967470","2018-06-01 10:55:05.949+00"
"🏞⛰🌻🥀🌸","Jardí Botànic Marimurtra","10203191900074104","2017-11-22 10:23:57.973+00"
"🏞️⛰️🏕️🎶🌄","Mt. Tabor Park","105856798281199967470","2018-07-29 04:07:41.448+00"
"🏞️🌲🐕🎾","Brookglen Park","105856798281199967470","2018-09-30 06:06:20.015+00"
"🏞️🕹️🤴👸🤔","Promenade des Bastions","105856798281199967470","2018-08-15 15:40:54.429+00"
"🏞️😃🚚📦🙄","Huxley Apartments","106173579224565293482","2019-02-03 23:45:43.139+00"
"🏞🌇🏙📸👌","Mount Royal","2979510660748","2018-04-20 18:47:58.656+00"
"🏠☕","Thomas M. Siebel Center for Computer Science","105856798281199967470","2018-03-09 17:38:13.575+00"
"🏠✍🎼🎵📜","Mozarthaus Vienna","10155200088205955","2018-06-05 08:41:22.822+00"
"🏠❄️😌","Culver's","10155279177545749","2017-12-31 03:56:58.445+00"
"🏠🌄","Drylaw","105856798281199967470","2018-05-22 20:08:20.109+00"
"🏠🌄🏞🤩📸","Villa Schönthal","10155200088205955","2018-06-04 02:50:22.3+00"
"🏠🌡️❄️➡️🤒","603 E White St","904147553087729","2018-10-17 04:51:11.379+00"
"🏠🍋🛌📺😊","Residence Inn by Marriott Seattle Bellevue/Downtown","10207814784727552","2018-08-04 22:55:42.652+00"
"🏠🍗🥔🍽","Boston Market","LdbRFos6ElU0hiGjCkktc58OHtz1","2018-05-18 03:27:01.072+00"
"🏠🏠💻","Thomas M. Siebel Center for Computer Science","2053211201557946","2018-03-09 20:11:28.684+00"
"🏠👟👠💉👪","ADEN Beytepe","RTmDVZIBaCTRjBEhfBYxGYsiyCx2","2018-06-28 18:56:13.617+00"
"🏠👨‍👩‍👧‍👦💗","Acro Vista","904147553087729","2018-05-11 02:27:11.504+00"
"🏠👩‍🍳🥞👩😋","H&M 아이파크몰","nRHTlgGu1QQd1yakJceskhoRpxD3","2018-08-05 06:56:01.994+00"
"🏠💻📱😮","Thomas M. Siebel Center for Computer Science","10155963998008817","2018-03-09 17:48:49.776+00"
"🏠📺😌☺️🐕","Saratoga","105856798281199967470","2018-09-15 02:27:44.659+00"
"🏠😍✔️","Thomas M. Siebel Center for Computer Science","1963084874010217","2018-03-26 20:49:59.93+00"
"🏠😴💭","Urbana","904147553087729","2018-02-11 13:30:57.087+00"
"🏠🛫🏫💻🤓","San Diego International Airport","1647801008617579","2018-11-24 16:28:24.793+00"
"🏠🤩🛀🛌","롯데캐슬클래식아파트","yfQw5nZ5WtbGjXSR4TuXjykfmal1","2018-07-18 04:17:23.313+00"
"🏡","AMLI at Seven Bridges","10109481874429450","2018-03-27 02:06:20.231+00"
"🏡","Platinum Site","Iu1XASl2srh9EV8rrmUNbAWyjNG3","2018-12-21 20:02:10.719+00"
"🏡🍗🍾🎆👨‍👩‍👧","San Jose","106173579224565293482","2018-07-05 04:30:19.688+00"
"🏡🍬🏡","Chicago","1787374657962185","2018-02-17 06:44:03.769+00"
"🏡🍷🧀🐟👨‍👩‍👧","Saratoga","10155351902975735","2018-03-27 04:14:34.048+00"
"🏡🐈🐈🐈🐈","Maria's Pizza","uoY2JhUYYjWWgymHKxcZKYYNZ1B3","2018-04-28 01:29:44.366+00"
"🏡👨‍👩‍👦‍👦😊","Singrauli","yfQw5nZ5WtbGjXSR4TuXjykfmal1","2018-07-22 03:31:55.428+00"
"🏡👩‍💻☕","530 W Griggs St","4fSiQkmyzzSrHMcu6b221awqU6j1","2018-10-17 14:06:40.305+00"
"🏡💻💤➡️🛏️","530 W Griggs St","4fSiQkmyzzSrHMcu6b221awqU6j1","2018-10-24 07:33:54.203+00"
"🏡🚿🛏️😴🤫","530 W Griggs St","4fSiQkmyzzSrHMcu6b221awqU6j1","2018-10-09 02:21:40.17+00"
"🏡🛌","Escondido Village","dCeNabO97aNeNW7CxazFgo0S9d03","2018-04-28 05:04:10.996+00"
"🏡🛌💤✅","530 W Griggs St","4fSiQkmyzzSrHMcu6b221awqU6j1","2018-10-18 19:36:40.396+00"
"🏡🧘‍♀️🧕📖","530 W Griggs St","4fSiQkmyzzSrHMcu6b221awqU6j1","2018-10-17 03:50:38.995+00"
"🏢3️⃣⬇️😐🙃","Amazon - Doppler","IVxTrnRwMxWyhshYhy7iKvbdYmm2","2019-02-05 21:02:24.105+00"
"🏢🖥🔥","Thomas M. Siebel Center for Computer Science","115689510688315725475","2018-03-10 19:09:21.815+00"
"🏢🚌😴🎶🍰","Illinois Street Residence Hall","10212391291791338","2018-09-23 12:20:36.036+00"
"🏢🚽🚿🛁🛏️","Live Latitude","10212886863311893","2017-12-07 23:02:42.209+00"
"🏢🛏️🚽📟📺","The Aspen Apartments","10210425096236162","2017-12-09 06:29:39.099+00"
"🏢🤔👨‍💼","Slack","10155216799991447","2018-01-16 19:13:50.074+00"
"🏥🚑🛌💉","Columbia Asia Hospital Hebbal, Bangalore","MMbM4HMgQRdbhu8AHkg7R8GpXcJ2","2019-01-21 12:10:20.254+00"
"🏦➡️🍽☕👩‍💻","Crew Collective & Cafe","10155200088205955","2018-04-26 20:01:08.149+00"
"🏨","Super 8 Iowa City/Coralville","395494837568437","2018-02-17 04:44:33.199+00"
"🏨⚜🏞💁💯","Grand Hotel du Lac Vevey","10155200088205955","2018-06-07 22:57:26.935+00"
"🏨⚜🛌👍😴","Hôtel de la Cigogne","10155200088205955","2018-06-06 10:16:46.955+00"
"🏨🆗🏄‍♀️🌐⚡","Austria Trend Hotel Messe Wien","10155200088205955","2018-06-04 23:26:46.242+00"
"🏨🌊🛥👩‍💻👍","Boston Marriott Long Wharf","10155200088205955","2018-06-21 22:54:16.867+00"
"🏨🌟🌃🌌🤩","The Cosmopolitan of Las Vegas","XXnUVF4DL9ckCjh3acLaUOG33hH2","2018-08-05 21:52:22.391+00"
"🏨🌟🍺😌","Hotel Santo Mauro, Autograph Collection","10203191900074104","2018-06-22 16:58:37.698+00"
"🏨🍫🌋🎂😋","Hyatt Place Champaign/Urbana","10155200088205955","2018-01-30 22:07:28.351+00"
"🏨🏛🎩😎🤑","Hotel Gault","10155200088205955","2018-04-23 17:19:45.583+00"
"🏨🏞⚜👍","Grand Hotel du Lac Vevey","108032751776815363988","2018-06-11 13:19:01.348+00"
"🏨🏞🚿🌊👍","Hôtel de la Cigogne","108032751776815363988","2018-06-06 11:55:38.672+00"
"🏨🏰🧚‍♀️✨👸","The Dolder Grand","10155200088205955","2018-06-08 23:45:09.573+00"
"🏨👦🍬👍👑","The Dolder Grand","108032751776815363988","2018-06-09 12:40:04.11+00"
"🏨👫👭🎒","HI Montreal Hostel","ZUMnsHpamKYHTmzpQwbC1dZB6oE3","2018-04-25 16:01:31.631+00"
"🏨💤🛌","Comfort Suites","395494837568437","2018-04-28 20:54:18.658+00"
"🏨🔝🏝️😎🤳","Hotel Erwin","10155200088205955","2018-08-03 00:59:55.204+00"
"🏨🔵🛏️👍😴","Hotel Le Bleu","10155200088205955","2018-07-14 00:08:57.111+00"
"🏨😍💋","Virgin Hotels Chicago","10155200088205955","2018-02-10 20:49:16.133+00"
"🏨🛎🛌✨👌","Dakota Edinburgh","105856798281199967470","2018-06-02 08:20:59.478+00"
"🏨🛏👍🖼😎","Hotel Zetta San Francisco","10155200088205955","2018-03-16 17:17:28.656+00"
"🏩🍲🥘☕👌","Kamat Upachar","MMbM4HMgQRdbhu8AHkg7R8GpXcJ2","2019-01-25 07:41:52.623+00"
"🏩👍","Lux Eleven Berlin-Mitte","106173579224565293482","2018-10-13 21:16:24.28+00"
